Tin #,Full Sample ID,Color,Pre-burned pan,Dry Snail Weight,Ashed Snails + Ashed Tin,Date weighed,Date ashed,Notes
107,CRR3_2 (UPDATED),R,210.139,0.164,210.256,20251022,20251020,
108,CRR3_2,R,209.202,0.18,209.327,20251022,20251020,
109,CRR4_2,R,209.575,0.233,209.706,20251022,20251020,
110,BRB2_2,B,210.078,0.146,210.18,20251022,20251020,
111,CRB3_2,B,208.629,0.2,208.779,20251022,20251020,
112,CRP3_2,P,209.347,0.24,209.515,20251022,20251020,
113,RIR3_2,R,210.422,0.235,210.579,20251022,20251020,
114,CRP4_1,P,210.502,0.249,210.668,20251029,20251028,
115,BRG1_1,G,207.782,0.088,207.805,20251029,20251028,
116,BRP5_1,P,210.495,0.051,210.542,20251029,20251028,
117,CRP6_1,P,211.002,0.161,211.122,20251029,20251028,
118,CRG4_1,G,209.632,0.447,209.972,20251029,20251028,
119,BRR5_1,R,209.079,0.111,209.164,20251029,20251028,
120,RIG5_1,G,208.753,0.108,208.835,20251029,20251028,
121,CRR1_1,R,209.896,0.209,210.055,20251029,20251028,
122,BRG5_1,G,209.002,0.204,209.149,20251029,20251028,
123,RIR6_1,R,209.386,0.276,209.575,20251029,20251028,
124,BRB5_1,B,210.287,0.155,210.41,20251029,20251028,
125,CRG2_1,G,209.922,0.212,210.083,20251029,20251028,
126,CRB1_1,B,208.58,0.192,208.717,20251029,20251028,
127,CRR5_1,R,209.771,0.327,209.997,20251029,20251028,
128,RIG1_1,G,209.488,0.129,209.587,20251029,20251028,
129,CRB2_1,B,207.563,0.411,207.845,20251029,20251028,
130,RIG6_1,G,210.122,0.217,210.296,20251029,20251028,
131,RIP1_1,P,208.821,0.075,208.869,20251029,20251028,
132,CRG6_1,G,209.898,0.35,210.141,20251029,20251028,
133,BRG3_1,G,209.425,0.24,209.602,20251029,20251028,
134,RIB6_1,B,208.976,0.447,209.318,20251029,20251028,
135,CRB6_1,B,208.374,0.341,208.636,20251029,20251028,
136,RIR1_2,R,210.162,0.055,210.287,20251029,20251028,
137,CRG3_2,G,209.268,0.12,209.272,20251029,20251028,
138,BRR6_2,R,210.922,0.126,211.021,20251029,20251028,
139,RIB1_2,B,209.702,0.269,209.887,20251029,20251028,
140,BRB4_2,B,210.254,0.102,210.333,20251029,20251028,
141,BRB2,B,208.519,0.199,208.663,20251029,20251028,Last digit not on tube
142,CRP2_2,P,210.222,0.364,210.45,20251029,20251028,
