Tin,Full.Sample.ID,Color,Pre.burned.pan,Dry.Snail.Weight,Ashed.Snails.Ashed.Tin,Date.weighed,Date.ashed,Tissue.Mass,Shell.Mass,Notes,,Notes2,
147,CRB5_2,B,210.772,0.233,210.948,20251029,20251028,0.057,0.176,,,,
135,CRB6_1,B,208.374,0.341,208.636,20251029,20251028,0.079,0.262,,,,
172,CRB6_2,B,210.057,0.131,210.171,20251029,20251028,0.017,0.114,,,,
85,CRG1_1,G,208.725,0.062,208.761,20251022,20251020,0.026,0.036,,,,
149,CRG1_2,G,209.748,0.141,209.85,20251029,20251028,0.039,0.102,,,,
125,CRG2_1,G,209.922,0.212,210.083,20251029,20251028,0.051,0.161,,,,
162,CRG2_2,G,207.873,0.121,207.97,20251029,20251028,0.024,0.097,,,,
97,CRG3_1,G,206.755,0.185,206.894,20251022,20251020,0.046,0.139,,,,
137,CRG3_2,G,209.268,0.12,209.272,20251029,20251028,0.116,0.004,,,,
118,CRG4_1,G,209.632,0.447,209.972,20251029,20251028,0.107,0.34,,,,
155,CRG4_2,G,209.732,0.263,209.908,20251029,20251028,0.087,0.176,,,,
86,CRG5_1,G,209.786,0.173,209.899,20251022,20251020,0.06,0.113,,,,
148,CRG5_2,G,209.671,0.076,209.727,20251029,20251028,0.02,0.056,,,,
132,CRG6_1,G,209.898,0.35,210.141,20251029,20251028,0.107,0.243,,,,
169,CRG6_2,G,209.885,0.203,210.032,20251029,20251028,0.056,0.147,,,,
72,CRP1_1,P,206.224,0.321,206.47,20251014,20251014,0.075,0.246,,,,
105,CRP1_2,P,209.543,0.214,209.71,20251022,20251020,0.047,0.167,,,,
92,CRP2_1,P,208.366,0.306,208.583,20251022,20251020,0.089,0.217,,,,
142,CRP2_2,P,210.222,0.364,210.45,20251029,20251028,0.136,0.228,,,,
25,CRP3_1,P,207.245,0.156,207.364,20251006,20251008,0.037,0.119,,,,
112,CRP3_2,P,209.347,0.24,209.515,20251022,20251020,0.072,0.168,,,,
70,CRP4_1,P,207.299,0.145,207.394,20251014,20251014,0.05,0.095,,,Missing CRP5,
69,CRP4_2,P,209.555,0.129,209.643,20251022,20251020,0.041,0.088,,,,
117,CRP6_1,P,211.002,0.161,211.122,20251029,20251028,0.041,0.12,,,,
154,CRP6_2,P,207.959,0.184,208.098,20251029,20251028,0.045,0.139,,,,
121,CRR1_1,R,209.896,0.209,210.055,20251029,20251028,0.05,0.159,,,,
158,CRR1_2,R,208.738,0.331,208.978,20251029,20251028,0.091,0.24,,,,
91,CRR2_1,R,210.741,0.127,210.833,20251022,20251020,0.035,0.092,,,,
143,CRR2_2,R,208.081,0.123,208.174,20251029,20251028,0.03,0.093,,,,
30,CRR3_1,R,208.512,0.177,208.644,20251006,20251008,0.045,0.132,,,,
107,CRR3_2,R,210.139,0.164,210.256,20251022,20251020,0.047,0.117,,,,
84,CRR4_1,R,207.001,0.228,207.153,20251022,20251020,0.076,0.152,,,,
109,CRR4_2,R,209.575,0.233,209.706,20251022,20251020,0.102,0.131,,,,
127,CRR5_1,R,209.771,0.327,209.997,20251029,20251028,0.101,0.226,,,,
164,CRR5_2,R,210.003,0.348,210.21,20251029,20251028,0.141,0.207,,,,
145,CRR6_2,R,209.044,0.314,209.284,20251029,20251028,0.074,0.24,,,,
89,CRR6_1,R,208.737,0.332,208.982,20251022,20251020,0.087,0.245,,,,
95,RIB1_1,B,211.103,0.283,211.284,20251022,20251020,0.102,0.181,,,,
139,RIB1_2,B,209.702,0.269,209.887,20251029,20251028,0.084,0.185,,,,
11,RIB2_1,B,208.194,0.215,208.325,20251006,20251008,0.084,0.131,,,,
62,RIB2_2,B,206.406,0.185,206.501,20251014,20251014,0.09,0.095,,,,
31,RIB3_1,B,207.793,0.189,207.928,20251006,20251008,0.054,0.135,,,,
74,RIB3_2,B,206.66,0.198,206.816,20251014,20251014,0.042,0.156,,,,
15,RIB4_1,B,206.707,0.369,206.959,20251006,20251008,0.117,0.252,,,,
58,RIB4_2,B,206.803,0.327,207.043,20251014,20251014,0.087,0.24,,,,
101,RIB5_1,B,209.398,0.097,209.459,20251022,20251020,0.036,0.061,,,,
